Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a43181f81ba57fbe1ea6157b14f66a338c8831c1e4d7016007cd950852702da4,2020-11,Metropolitan Police Service,Metropolitan Police Service,-0.345691,51.445687,On or near MEREWAY ROAD,E01003904,Richmond upon Thames 015G,Investigation complete; no suspect identified
52324332480abca328f27e83e82eb8e7052f3250fa70c7511b254020bfe8ede0,2020-11,Metropolitan Police Service,Metropolitan Police Service,-0.185159,51.531438,On or near MAIDA VALE,E01004648,Westminster 002B,Investigation complete; no suspect identified
cf068eac154efcff8df98e1ac87b8497ad2e97bbdb56a381ad5593020a422baf,2020-11,Metropolitan Police Service,Metropolitan Police Service,-0.046444,51.525397,On or near LEATHERDALE STREET,E01004263,Tower Hamlets 007C,Investigation complete; no suspect identified
687ca44c9c9c9f7667951cc782e63ee29579ad149464d9a81b6344ca4e8da81b,2020-11,Metropolitan Police Service,Metropolitan Police Service,-0.068776,51.449699,On or near UPLAND ROAD,E01003957,Southwark 032C,Investigation complete; no suspect identified
998b9a744bed46d83bd9a03197606796d0ddf030b5df5040cf21b6fe60f33025,2020-11,Metropolitan Police Service,Metropolitan Police Service,0.188813,51.516333,On or near LAMSON ROAD,E01002344,Havering 029B,Investigation complete; no suspect identified
bdaf6f4ffd4a92270e172afffa8aa1300fee423ee3ef68dae0180084dbbafba3,2020-11,Metropolitan Police Service,Metropolitan Police Service,0.000758,51.445861,On or near MINARD ROAD,E01033320,Lewisham 017E,Investigation complete; no suspect identified
415de060d8340447fd3aef3d6b3fb502178a48eca7e13e9eef909cd1e5bba4c1,2020-11,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
02400cc6e451278bd4a28207b01365b5540b89a692d5f895bd40b7506aa3e906,2020-11,Metropolitan Police Service,Metropolitan Police Service,-0.086516,51.557136,On or near CARYSFORT ROAD,E01001737,Hackney 012B,Investigation complete; no suspect identified
45859bfa243d1308496e16156a942660cda97e0b1c454b76e3ea60d39df6d034,2020-11,Metropolitan Police Service,Metropolitan Police Service,-0.056245,51.538977,On or near Petrol Station,E01001839,Hackney 023C,Investigation complete; no suspect identified
acff8131913da26df80af8ce364f36d6b9eba1711f41a0ab65373627d09149ff,2020-11,Metropolitan Police Service,Metropolitan Police Service,-0.057162,51.565871,On or near WARWICK GROVE,E01001822,Hackney 029C,Investigation complete; no suspect identified
c2f2c0a283d9503744c9dabf58aeccb9efaa0faa840426ff4f98f4fa1c88899c,2020-11,Metropolitan Police Service,Metropolitan Police Service,-0.075628,51.457869,On or near Supermarket,E01003952,Southwark 030A,Investigation complete; no suspect identified
532b7e242264e8c48b11d82d7e161b71321387fe9e975cb1cdaf3d175ee9eca7,2020-11,Metropolitan Police Service,Metropolitan Police Service,-0.08878,51.436259,On or near ALLEYN CRESCENT,E01003951,Southwark 033E,Investigation complete; no suspect identified
de50e4b1de0bc6bb73990e602d8d308bb00a2c4ad444a054b0fc7b354d19fee0,2020-11,Metropolitan Police Service,Metropolitan Police Service,-0.049006,51.503561,On or near CLARENCE MEWS,E01004029,Southwark 001A,Investigation complete; no suspect identified
b8c1f8ebfcbe978bcfca84d4e61941f59114378ae267e9d77df8cf6331b7c8be,2020-11,Metropolitan Police Service,Metropolitan Police Service,-0.151607,51.578448,On or near CHURCH ROAD,E01002011,Haringey 030D,Investigation complete; no suspect identified
b8c1f8ebfcbe978bcfca84d4e61941f59114378ae267e9d77df8cf6331b7c8be,2020-11,Metropolitan Police Service,Metropolitan Police Service,-0.151607,51.578448,On or near CHURCH ROAD,E01002011,Haringey 030D,Investigation complete; no suspect identified
7c30db7da8b0ad3cf1a31429a124bdae12ed278a26da875749b3d83db19f8e93,2020-11,Metropolitan Police Service,Metropolitan Police Service,-0.190585,51.523312,On or near ALDSWORTH CLOSE,E01004754,Westminster 010A,Investigation complete; no suspect identified
4c1bf1645cb576f7147463a760ed2dc094f753369ba244b5e55a709cd9fb6ab4,2020-11,Metropolitan Police Service,Metropolitan Police Service,-0.142459,51.52068,On or near Further/Higher Educational Building,E01004715,Westminster 013A,Investigation complete; no suspect identified
4c1bf1645cb576f7147463a760ed2dc094f753369ba244b5e55a709cd9fb6ab4,2020-11,Metropolitan Police Service,Metropolitan Police Service,-0.142459,51.52068,On or near Further/Higher Educational Building,E01004715,Westminster 013A,Investigation complete; no suspect identified
4c1bf1645cb576f7147463a760ed2dc094f753369ba244b5e55a709cd9fb6ab4,2020-11,Metropolitan Police Service,Metropolitan Police Service,-0.142459,51.52068,On or near Further/Higher Educational Building,E01004715,Westminster 013A,Investigation complete; no suspect identified
343421a6024342384bba667ff5f17521ffccac0e7bcbf4b2ce7eb20cea4f7def,2020-11,Metropolitan Police Service,Metropolitan Police Service,-0.150301,51.487919,On or near GATLIFF ROAD,E01033597,Westminster 023F,Investigation complete; no suspect identified
e834f8fe0aadef9dc435ad19605f4a157a931aa7f5f1af6b3832cafb731dc9f5,2020-11,Metropolitan Police Service,Metropolitan Police Service,-0.2154,51.515401,On or near KINGSDOWN CLOSE,E01002880,Kensington and Chelsea 005D,Investigation complete; no suspect identified
86003fec905a6d185866117cfe83f7b2e7a79ccd755182ef1cb93726b557db0b,2020-11,Metropolitan Police Service,Metropolitan Police Service,0.173322,51.572997,On or near STOCKLAND ROAD,E01002356,Havering 013C,Investigation complete; no suspect identified
d959e036b6a28681c0d22b7dc08df6c324b737dbafccbde4fba8becf1d27122f,2020-11,Metropolitan Police Service,Metropolitan Police Service,0.236472,51.60762,On or near REDRUTH WALK,E01002279,Havering 002B,Investigation complete; no suspect identified
d959e036b6a28681c0d22b7dc08df6c324b737dbafccbde4fba8becf1d27122f,2020-11,Metropolitan Police Service,Metropolitan Police Service,0.236472,51.60762,On or near REDRUTH WALK,E01002279,Havering 002B,Investigation complete; no suspect identified
